username,commits,additions,deletions,changes,number of repos
robertrottermann,7,26,11,37,3
claytron,41,24253,31844,56097,8
awello,9,299,115,414,5
danjacka,81,2055,364,2419,24
spereverde,38,1488,1067,2555,9
b4oshany,53,2892,1141,4033,12
thomasmassmann,162,9423,8929,18352,17
buchi,185,14979,3699,18678,8
pnicolli,71,43969,5364,49333,9
rnunez80,4,6,3,9,2
cguardia,9,55,25,80,4
gotcha,637,39935,51369,91304,63
gweis,6,57,6,63,3
reinout,12,128,67,195,7
mjpieters,29,252,80,332,8
brunobbbs,3,5,2,7,2
romanofski,5,15,7,22,2
jugmac00,19,86,47,133,7
tkimnguyen,514,207127,702337,909464,49
jribouxquadra,1,10,6,16,1
miohtama,120,15992,14339,30331,20
loechel,601,109697,67478,177175,31
dhavlik,9,110,60,170,3
sureshvv,10,58,23,81,5
mattss,13,153,10,163,4
phgross,9,405,300,705,3
csenger,172,7635,2185,9820,26
lukebrannon,6,44,4,48,5
hersonrodrigues,17,1374,2507,3881,6
wesleybl,52,1503,828,2331,12
reinhardt,101,2816,1258,4074,25
ianderso,2,4,2,6,1
davisp1,5,127,16,143,3
avoinea,348,106281,70166,176447,24
numahell,3,29,4,33,1
cedricmessiant,82,5528,995,6523,12
acsr,7,102,16,118,5
dnouri,296,20929,95657,116586,33
rudaporto,19,638,245,883,4
icemac,173,7480,8757,16237,20
karalics,3,244,49,293,3
petri,10,133,18,151,5
lukasgraf,162,17215,9593,26808,7
damilgra,1,2,2,4,1
flipmcf,24,73,49,122,6
metatoaster,18,3039,478,3517,3
dorneles,74,4762,2497,7259,20
claytonc,8,93,119,212,3
gbastien,109,1533,425,1958,17
brandon-rhodes,2,3,7,10,2
frederic-peters,2,45,3,48,1
hnet,3,28,22,50,2
sgeulette,14,486,146,632,6
zedr,6,66,10,76,1
mikejmets,3,8,3,11,3
vincero,10,133,67,200,9
arsenico13,4,75,13,88,4
jochumdev,8,48,9,57,5
robdayz,4,38,98,136,2
jterstriep,1,1,1,2,1
Adniel,1,1,1,2,1
zupo,386,75673,21689,97362,15
witekdev,45,918,189,1107,7
mjtrac,1,7,0,7,1
benniboy,15,222,103,325,4
svx,1001,436203,231241,667444,42
pabo3000,35,2460,1115,3575,10
yurj,31,366,311,677,8
macagua,64,37235,5041,42276,11
jean,124,6676,5310,11986,17
ritwikagarwal,5,8,4,12,1
sverbois,11,7434,116,7550,4
krissik,19,3627,3342,6969,4
duchenean,4,548,28,576,3
tschorr,266,11043,6418,17461,21
rochecompaan,19,242,62,304,7
mikerhodes,1,4,0,4,1
sylvainb,5,668,4,672,4
sallner,10,249,196,445,3
ivanteoh,35,821,302,1123,6
mtrebron,8,619,50,669,4
wkbkhard,22,1352,227,1579,4
birdwell,5,21,14,35,2
jonstahl,45,196,141,337,13
mattvoss,2,4,3,7,1
dbrenneman,5,102,2,104,1
Rudd-O,76,1402,729,2131,6
